acceleration:x,y,z,Orientation:yaw,pitch,roll,PredGravityX,PredGravityY,PredGravityZ
-0.548909, 2.14294, 9.74728, -1.52391, 0.0511321, -0.217739, -0.500559, 2.11439, 9.55609
-0.510738, 2.1395, 9.70671, -1.52355, 0.0512642, -0.217509, -0.50217, 2.11204, 9.55652
-0.475711, 2.17258, 9.713, -1.52351, 0.0512029, -0.217529, -0.50157, 2.11224, 9.55651
-0.502655, 2.14684, 9.70731, -1.52347, 0.0511746, -0.21754, -0.501294, 2.11235, 9.5565
-0.510588, 2.14294, 9.71974, -1.52357, 0.0511321, -0.217524, -0.500877, 2.1122, 9.55656
-0.477657, 2.15207, 9.70821, -1.52357, 0.0511321, -0.217524, -0.500877, 2.1122, 9.55656
-0.477657, 2.15207, 9.70821, -1.52357, 0.0511321, -0.217524, -0.500877, 2.1122, 9.55656
-0.477657, 2.15207, 9.70821, -1.52363, 0.0511387, -0.217517, -0.50094, 2.11213, 9.55657
-0.512235, 2.14309, 9.70642, -1.52363, 0.0511387, -0.217517, -0.50094, 2.11213, 9.55657
-0.512235, 2.14309, 9.70642, -1.52363, 0.0511387, -0.217517, -0.50094, 2.11213, 9.55657
-0.512235, 2.14309, 9.70642, -1.52363, 0.0511387, -0.217517, -0.50094, 2.11213, 9.55657
-0.512235, 2.14309, 9.70642, -1.52363, 0.0511387, -0.217517, -0.50094, 2.11213, 9.55657
-0.512235, 2.14309, 9.70642, -1.52363, 0.0511387, -0.217517, -0.50094, 2.11213, 9.55657
-0.512235, 2.14309, 9.70642, -1.52388, 0.0511107, -0.217446, -0.500668, 2.11146, 9.55673
-0.505349, 2.12034, 9.74354, -1.52388, 0.0511107, -0.217446, -0.500668, 2.11146, 9.55673
-0.505349, 2.12034, 9.74354, -1.52388, 0.0511107, -0.217446, -0.500668, 2.11146, 9.55673
-0.505349, 2.12034, 9.74354, -1.524, 0.0511114, -0.217416, -0.500673, 2.11117, 9.55679
-0.510139, 2.1398, 9.74444, -1.524, 0.0511114, -0.217416, -0.500673, 2.11117, 9.55679
-0.510139, 2.1398, 9.74444, -1.52413, 0.051112, -0.217401, -0.500679, 2.11102, 9.55683
-0.510738, 2.14249, 9.74459, -1.52413, 0.051112, -0.217401, -0.500679, 2.11102, 9.55683
-0.510738, 2.14249, 9.74459, -1.52413, 0.051112, -0.217401, -0.500679, 2.11102, 9.55683
-0.510738, 2.14249, 9.74459, -1.52413, 0.051112, -0.217401, -0.500679, 2.11102, 9.55683
-0.510738, 2.14249, 9.74459, -1.52425, 0.0511142, -0.217377, -0.500699, 2.1108, 9.55687
-0.510738, 2.11869, 9.71495, -1.52425, 0.0511142, -0.217377, -0.500699, 2.1108, 9.55687
-0.510738, 2.11869, 9.71495, -1.52425, 0.0511142, -0.217377, -0.500699, 2.1108, 9.55687
-0.510738, 2.11869, 9.71495, -1.52436, 0.0511213, -0.21736, -0.500772, 2.11064, 9.5569
-0.510738, 2.14249, 9.70656, -1.52436, 0.0511213, -0.21736, -0.500772, 2.11064, 9.5569
-0.510738, 2.14249, 9.70656, -1.52436, 0.0511213, -0.21736, -0.500772, 2.11064, 9.5569
-0.510738, 2.14249, 9.70656, -1.52432, 0.0511098, -0.217344, -0.500658, 2.11048, 9.55695
-0.492326, 2.13366, 9.70642, -1.52428, 0.051068, -0.217343, -0.500251, 2.11048, 9.55697
-0.499362, 2.12663, 9.70642, -1.52428, 0.051068, -0.217343, -0.500251, 2.11048, 9.55697
-0.499362, 2.12663, 9.70642, -1.52428, 0.051068, -0.217343, -0.500251, 2.11048, 9.55697
-0.499362, 2.12663, 9.70642, -1.52428, 0.051068, -0.217343, -0.500251, 2.11048, 9.55697
-0.499362, 2.12663, 9.70642, -1.52424, 0.0510572, -0.217328, -0.500141, 2.11033, 9.55701
-0.485141, 2.1407, 9.70642, -1.52424, 0.0510572, -0.217328, -0.500141, 2.11033, 9.55701
-0.485141, 2.1407, 9.70642, -1.52424, 0.0510572, -0.217328, -0.500141, 2.11033, 9.55701
-0.485141, 2.1407, 9.70642, -1.52413, 0.0509995, -0.217321, -0.499578, 2.11027, 9.55705
-0.474214, 2.14249, 9.73605, -1.52413, 0.0509995, -0.217321, -0.499578, 2.11027, 9.55705
-0.474214, 2.14249, 9.73605, -1.52401, 0.050941, -0.217322, -0.499005, 2.11029, 9.55708
-0.487836, 2.16704, 9.74354, -1.52401, 0.050941, -0.217322, -0.499005, 2.11029, 9.55708
-0.487836, 2.16704, 9.74354, -1.52404, 0.0509436, -0.217368, -0.499031, 2.11073, 9.55698
-0.492626, 2.17932, 9.74444, -1.52404, 0.0509436, -0.217368, -0.499031, 2.11073, 9.55698
-0.492626, 2.17932, 9.74444, -1.52404, 0.0509436, -0.217368, -0.499031, 2.11073, 9.55698
-0.492626, 2.17932, 9.74444, -1.52393, 0.0508647, -0.217439, -0.49826, 2.11142, 9.55686
-0.474064, 2.17453, 9.70507, -1.52393, 0.0508647, -0.217439, -0.49826, 2.11142, 9.55686
-0.474064, 2.17453, 9.70507, -1.52393, 0.0508647, -0.217439, -0.49826, 2.11142, 9.55686
-0.474064, 2.17453, 9.70507, -1.52393, 0.0508647, -0.217439, -0.49826, 2.11142, 9.55686
-0.474064, 2.17453, 9.70507, -1.52393, 0.0508647, -0.217439, -0.49826, 2.11142, 9.55686
-0.474064, 2.17453, 9.70507, -1.52383, 0.050805, -0.217481, -0.497676, 2.11183, 9.5568
-0.505648, 2.14549, 9.70073, -1.52383, 0.050805, -0.217481, -0.497676, 2.11183, 9.5568
-0.505648, 2.14549, 9.70073, -1.52383, 0.050805, -0.217481, -0.497676, 2.11183, 9.5568
-0.505648, 2.14549, 9.70073, -1.52385, 0.0508134, -0.217478, -0.497759, 2.1118, 9.55681
-0.510139, 2.14324, 9.70552, -1.52385, 0.0508134, -0.217478, -0.497759, 2.1118, 9.55681
-0.510139, 2.14324, 9.70552, -1.52388, 0.0507888, -0.217481, -0.497514, 2.11182, 9.55681
-0.496068, 2.16704, 9.73935, -1.52388, 0.0507888, -0.217481, -0.497514, 2.11182, 9.55681
-0.496068, 2.16704, 9.73935, -1.52388, 0.0507888, -0.217481, -0.497514, 2.11182, 9.55681
-0.496068, 2.16704, 9.73935, -1.52388, 0.0507888, -0.217481, -0.497514, 2.11182, 9.55681
-0.496068, 2.16704, 9.73935, -1.52388, 0.0507888, -0.217481, -0.497514, 2.11182, 9.55681
-0.496068, 2.16704, 9.73935, -1.52388, 0.0507888, -0.217481, -0.497514, 2.11182, 9.55681
-0.479004, 2.15178, 9.74399, -1.52391, 0.0507637, -0.217494, -0.497269, 2.11195, 9.5568
-0.479004, 2.15178, 9.74399, -1.52395, 0.0507547, -0.217478, -0.497181, 2.1118, 9.55684
-0.491428, 2.14414, 9.72947, -1.52395, 0.0507547, -0.217478, -0.497181, 2.1118, 9.55684
